name,url,scope_1,scope_2,scope_3,total_offset_expenditure,total_offsets_tons_co2
Gifts for Good,https://www.climateneutral.org/brand/gifts-for-good,11.0,0.0,71.0,1178.75,82.0
GLIDE,https://www.climateneutral.org/brand/glide,2.0,39.0,77.0,1541.25,117.0
Glow Recipe,https://www.climateneutral.org/brand/glow-recipe,0.0,0.0,49923.0,302988.44,49923.0
Good Clean Love,https://www.climateneutral.org/brand/good-clean-love,4.0,40.0,4633.0,58450.0,4676.0
Good Good Good,https://www.climateneutral.org/brand/good-good-good,0.0,0.0,34.0,340.0,34.0
Goodee,https://www.climateneutral.org/brand/goodee,4.0,0.0,27.0,441.75,31.0
goodr,https://www.climateneutral.org/brand/goodr,3.0,9.0,18511.0,246852.0,24024.0
Gorilla Computing GmbH,https://www.climateneutral.org/brand/gorilla-computing,2.0,2.0,29.0,955.0,80.0
Grain,https://www.climateneutral.org/brand/grain,5.0,5.0,99.0,808.78,109.0
Graphene X,https://www.climateneutral.org/brand/graphene-x,0.0,0.0,227.0,2079.32,227.0
GrowthJet,https://www.climateneutral.org/brand/growthjet,3.0,69.0,137.0,1515.25,209.0
Happy Earth LLC,https://www.climateneutral.org/brand/happy-earth,0.0,0.0,400.0,2985.78,402.0
Heady,https://www.climateneutral.org/brand/heady,0.0,44.0,73.0,2392.0,117.0
"HigherRing, Inc.",https://www.climateneutral.org/brand/higherring,2.0,52.0,103.0,1570.0,158.0
Hikers Brew Coffee,https://www.climateneutral.org/brand/hikers-brew-coffee,0.0,6.0,6.0,252.0,12.0
Hitch,https://www.climateneutral.org/brand/hitch,0.0,1.0,294.0,1917.5,295.0
Holden Rings,https://www.climateneutral.org/brand/holden,0.0,26.0,1745.0,10632.0,1772.0
Hune,https://www.climateneutral.org/brand/hune,0.0,0.0,82.0,573.5,82.0
Ibex,https://www.climateneutral.org/brand/ibex,0.0,0.0,709.0,3545.0,709.0
ICEBUG,https://www.climateneutral.org/brand/icebug,3.0,0.0,5241.0,33920.0,5300.0
IM Digital,https://www.climateneutral.org/brand/im-digital,6.0,146.0,289.0,4565.0,440.0
INC Architecture & Design,https://www.climateneutral.org/brand/inc-architecture-design,23.0,11.0,181.0,3770.0,216.0
Infinum,https://www.climateneutral.org/brand/infinum,26.0,99.0,738.0,6922.0,863.0
Innersense Organic Beauty,https://www.climateneutral.org/brand/innersense-beauty,9.0,8.0,2869.0,28182.5,2886.0
iota,https://www.climateneutral.org/brand/iota,0.0,1.0,98.0,750.72,99.0
JADE Swim,https://www.climateneutral.org/brand/jade-swim,0.0,85.0,87.0,1634.0,172.0
Jiant,https://www.climateneutral.org/brand/jiant,2.0,25.0,2641.0,13206.6,2668.0
Jikoni,https://www.climateneutral.org/brand/jikoni,2.0,0.0,57.0,1056.7,60.0
Joobwear,https://www.climateneutral.org/brand/joobwear,0.0,0.0,6.0,165.83,7.0
JuneShine,https://www.climateneutral.org/brand/juneshine,7.0,3.0,8398.0,96300.0,12500.0
Kala & Mata,https://www.climateneutral.org/brand/kala-mata,0.0,0.0,151.0,5285.0,151.0
Kammok,https://www.climateneutral.org/brand/kammok,44.0,1027.0,1996.0,21560.0,3080.0
Kate McLeod,https://www.climateneutral.org/brand/kate-mcleod,1.0,41.0,1078.0,10908.25,1119.0
KBS Pets,https://www.climateneutral.org/brand/kbs-pets,0.0,0.0,493.0,3871.75,493.0
Keeper Denim,https://www.climateneutral.org/brand/keeper-denim,0.0,0.0,2.0,27.18,2.0
Kenna Group,https://www.climateneutral.org/brand/kenna-group,0.0,12.0,602.0,4298.0,614.0
KENT,https://www.climateneutral.org/brand/kent,0.0,1.0,27.0,400.5,27.0
Kickstarter,https://www.climateneutral.org/brand/kickstarter,63.0,0.0,496.0,10664.35,559.0
Kindhumans,https://www.climateneutral.org/brand/kindhumans,0.0,0.0,8.0,116.0,8.0
Kindship Group,https://www.climateneutral.org/brand/kindship-group,0.0,7.0,11.0,222.82,18.0
Klean Kanteen,https://www.climateneutral.org/brand/klean-kanteen,21.0,0.0,6283.0,49627.0,6304.0
Knowmium,https://www.climateneutral.org/brand/knowmium,1.0,24.0,94.0,952.0,119.0
Koos Service Design,https://www.climateneutral.org/brand/koos-service-design,33.0,18.0,305.0,4984.0,356.0
KORA Organics,https://www.climateneutral.org/brand/kora-organics,1.0,30.0,2956.0,41923.0,2986.0
KORARU,https://www.climateneutral.org/brand/koraru,0.0,0.0,179.0,1638.0,180.0
KraveBeauty,https://www.climateneutral.org/brand/kravebeauty,0.0,0.0,767.0,7670.0,767.0
La Honda Winery,https://www.climateneutral.org/brand/la-honda-winery,2.0,28.0,131.0,1288.0,161.0
La Sportiva N.A.,https://www.climateneutral.org/brand/la-sportiva-na,225.0,58.0,20135.0,122880.2,20418.0
Laid Back Snacks Inc.,https://www.climateneutral.org/brand/laid-back-snacks-inc,0.0,4.0,554.0,5301.0,558.0
Laumiere Gourmet Fruits,https://www.climateneutral.org/brand/laumiere-gourmet-fruits,3.0,8.0,77.0,1188.0,88.0
Leaf Shave,https://www.climateneutral.org/brand/leaf-shave,1.0,1.0,382.0,3840.0,384.0
Le.mu,https://www.climateneutral.org/brand/lemu,16.0,4.0,307.0,2132.0,328.0
LifeStraw,https://www.climateneutral.org/brand/lifestraw,49.0,46.0,5131.0,88842.0,5226.0
Live Story Inc,https://www.climateneutral.org/brand/live-story-inc,4.0,5.0,55.0,1575.0,63.0
Lomond Coffee Ltd,https://www.climateneutral.org/brand/lomond-coffee,1.0,1.0,9.0,104.5,11.0
loqa,https://www.climateneutral.org/brand/loqa,1.0,0.0,16.0,126.0,18.0
Lubanzi Wines,https://www.climateneutral.org/brand/lubanzi-wines,0.0,1.0,526.0,7509.75,527.0
